,shopid,title,address,rating,recdish,deal
0,l9YG25thvd2UMWMX,小天鹅火锅(英利大融城店),民权路26号英利大融城6楼,4.61,酱香酱肉片/秘制嫩牛肉/鸳鸯锅底,
1,k8XfdrvcZgrQYDnY,重庆刘一手火锅(好吃街旗舰店),八一路183号4楼,4.60,毛肚鸭肠双拼/招牌刘毛肚/香菜猪肉丸,此餐馆有5个团购
2,l2d7HJ3oQvBGwTdm,江二娃串串香(日月光直营店),和平路日月光中心广场一楼,4.59,香菜牛肉/鴨血/串串,此餐馆有2个团购
3,l38fYEu8ChuzLUw0,增福老火锅,大井巷1号附近,4.59,嫩牛肉/鲜鸭血/绿色毛肚,此餐馆有4个团购
4,H9C9pOX0ZCRV7X5p,迪胖·江景老火锅(洪崖洞店),沧白路46号,4.59,屠场纯鲜毛肚/鲜鸭肠/玫瑰网红冰汤圆,此餐馆有3个团购
5,FLDhIXFBSZXON5Bx,李记串串香(解放碑总店),新民街30号二楼日月光中心广场停车场入口对面,4.58,香菜牛肉/毛肚埂子/鸭血,此餐馆有1个团购
6,k9tQmql0pbfMXeJL,粤贝金汤花胶鸡(解放碑英利大融城店),民权路26号英利大融城4楼,4.57,招牌金汤花胶鸡/基围虾/娃娃菜,此餐馆有7个团购/本店支持在线下单，足不出户，外送到家！
7,H9P9MAMqyYfwdobA,蛙鱼潭美蛙鱼头(解放碑店),民权路51号（教堂与全季酒店之间的巷子往里走30米）,4.57,秘制美牛蛙/金桔柠檬/麻辣美蛙鱼头,此餐馆有8个团购
8,GaAOU7li1NRfslrL,解放碑威斯汀酒店锦肴轩特色餐厅,新华路222号重庆解放碑威斯汀酒店53-54层,4.57,招牌海鲜拼盘/鲍鱼火锅/港式鲍鱼汤锅,此餐馆有6个团购
9,F1rbxeZREVpc19xK,白乐天毛肚火锅馆(解放碑营业所),民生路美力大厦（四贤巷3号附1号）,4.56,酸梅汁/鲜毛肚/红糖糍粑,此餐馆有2个团购
10,G5yS9Tjc0p6QCnML,味蒸老火锅(吊脚楼店),民生路145号,4.56,鲜毛肚/麻辣牛肉/现炸酥肉,此餐馆有6个团购
11,iresueDwkwbHwtdn,欢喜人世间·牛肉馆,磁器街得意世界A区1-3内一楼,4.56,欢喜麻麻鱼/山城火爆锅/花果酒,此餐馆有2个团购
12,G8dkqVnifcNY0bik,啊六椰子花胶鸡(解放碑店),邹容路解放碑正中心金鹰财富中心5F,4.55,花胶鸡/顺喜发XO酱鲍鱼捞饭/椰子花胶鸡鸳鸯锅,此餐馆有5个团购//本店支持在线下单，足不出户，外送到家！
13,ELIUvikgjvQ5c8g9,魔幻8D重庆清真火锅,中兴路5附2号重庆穆斯林大厦负一楼,4.54,现炸网红牛肉酥肉/牛肉大包/现切牛肝,此餐馆有3个团购
14,G9jW6KuiNVK0OKE9,大队长主题火锅(解放碑好吃街店),解放碑八一路好吃街如家酒店对面网鱼网咖楼下,4.53,一米勇气牛肉/村长鹅肠/知青牛肉,此餐馆有5个团购
