,shopid,title,address,rating,recdish,deal
0,jOG4Rjfp21QgtGDd,大队长主题火锅(解放碑店),青年路18号中天大酒店2层,4.85,鲜鸭血/麻辣牛肉/鲜毛肚,此餐馆有5个团购
1,G11Rf9FPfrceEYnz,木巷火锅(解放碑店),五一路260号-2,4.85,贡菜丸子/极品鲜鹅肠/水牛毛肚,此餐馆有4个团购
2,k6NkE9kAYgcGKnNn,在渝里·重庆老火锅,八一路218号如家酒店2楼,4.84,咸蛋黄虾滑/牛过三代鲜毛肚/雾都卤鸭血,此餐馆有6个团购//本店支持在线下单，足不出户，外送到家！
3,H8gjskovq94huLaK,老来福·酸汤兔(凯旋路店),凯旋路98-16号,4.83,老来福酸汤兔(小锅)/糯米香酥鸭/香蕉飞饼,此餐馆有4个团购
4,G8ebCKmZasTD8FDe,云极59火锅料理,民生路海航保利中心59楼,4.82,新西兰蓝鲍/屠场鲜毛肚/农家小酥肉,此餐馆有2个团购
5,k2rDDXJMBE3wI0Zx,巴九门老火锅(解放碑地标店),邹容路100号金鹰财富中心5楼,4.81,极品鲜鹅肠/千厮门鲜毛肚/多子多福肉多多,此餐馆有7个团购//本店支持在线下单，足不出户，外送到家！
6,H2PV4GlntGwd9k3p,李串串老店·李杰一家三口(解放碑店),和平路解放碑宏声巷5号1-3-5（重庆市聋哑学校旁）,4.79,嬢嬢嫩肉片/特色牛肝/干油碟,此餐馆有3个团购
7,H32KzBFA9os9EqCo,嘿火串串火锅,解放碑九尺坎民族巷10号,4.79,串串/麻辣牛肉/鲜鸭血,此餐馆有1个团购
8,kaEtesBpwb2eWg2V,独雅老火锅(原宏声巷店),和平路203号（渝中区区政府路口）,4.79,自制午餐肉/双椒牛肉/金元宝,此餐馆有1个团购
9,la3lclyB6gs6bLzq,储奇门鳝鱼火锅,顺城街39号二楼,4.78,现划鳝鱼/纯鲜毛肚/现炸酥肉,此餐馆有4个团购
10,G7APFwTyPvcajH4e,雄火锅(直营店),中华巷20号,4.76,绿色毛肚/九尺鹅肠/现炸酥肉,此餐馆有4个团购
11,G1o0SQGetsLMSUpL,巴将军非遗原味火锅(解放碑店),民权路17号裙楼3-4楼（八一路好吃街好又来酸辣粉总店对面督邮街巷内、海澜之家背后）,4.75,屠场鲜毛肚/九尺鹅肠/红糖锅盔,此餐馆有7个团购//本店支持在线下单，足不出户，外送到家！
12,k7lfA43Bt9jjW5Wp,捞锅坝子老火锅(解放碑店),沧白路与临江支路交叉口,4.75,双椒牛肉/极品毛肚/九尺鲜鹅肠,
13,H3X32lZl88F9Zu5r,千源九宫格老火锅(长江索道店),公园路19号德艺大厦1层,4.74,大刀腰片火锅/千源鲜毛肚/香菜牛肉丸,此餐馆有8个团购/
14,G3cj4wTzTKUyYBSF,珮姐老火锅(解放碑店),民权路51号瑞富广场1-B-1号商铺,4.73,贡菜丸子/虾滑/麻辣牛肉,此餐馆有4个团购/
